Symbol,Date,Open,High,Low,Last,Close
TATAMOTORS,12/12/2019,163.45,174.9,162.5,172.9,173.35
TATAMOTORS,12/13/2019,177.25,183.95,175.5,176.8,176.7
TATAMOTORS,12/16/2019,177,178.8,173.35,175.5,174.95
TATAMOTORS,12/17/2019,176,181.15,175.35,180.1,180.2
TATAMOTORS,12/18/2019,182.1,184.5,170.45,175,174.8
TATAMOTORS,12/19/2019,174.65,180.2,174,179.1,179.15
TATAMOTORS,12/20/2019,180.4,181.7,174.85,176.55,175.95
TATAMOTORS,12/23/2019,176.85,179,174.15,176,176.05
TATAMOTORS,12/24/2019,177.65,178,174.65,175.4,175.5
TATAMOTORS,12/26/2019,175.9,176.45,174.1,174.6,174.6
TATAMOTORS,12/27/2019,176,176.95,174.85,176.3,176.15
TATAMOTORS,12/30/2019,177.2,184.35,176.3,183.75,183.7
TATAMOTORS,12/31/2019,184,187.9,181.55,184.65,185.15
TATAMOTORS,1/1/2020,185.15,186.7,183.6,184.25,184.45
TATAMOTORS,1/2/2020,185,194.7,184.6,193.85,193.75
TATAMOTORS,1/3/2020,192.9,195.65,189.25,191.25,191.1
TATAMOTORS,1/6/2020,191,191,185.05,185.4,185.65
TATAMOTORS,1/7/2020,187,189.4,182.3,184.35,184.7
TATAMOTORS,1/8/2020,180.2,184.2,180.2,182.75,182.55
TATAMOTORS,1/9/2020,184.85,192.75,184.25,192.4,192
TATAMOTORS,1/10/2020,192,199,190,194.25,196.35
TATAMOTORS,1/13/2020,194.75,197.75,191.4,195.9,196.25
TATAMOTORS,1/14/2020,195.7,198.25,193.6,195.2,195.85
TATAMOTORS,1/15/2020,195,201.7,194,199.7,200.35
TATAMOTORS,1/16/2020,199.5,200.6,196.9,197.25,197.55
TATAMOTORS,1/17/2020,197.25,199.45,195.7,196.7,197.3
TATAMOTORS,1/20/2020,198,201.45,194.3,195.55,195
TATAMOTORS,1/21/2020,195.5,196.4,190.2,190.25,191.4
TATAMOTORS,1/22/2020,191.95,192.5,184.25,185.6,185.6
TATAMOTORS,1/23/2020,186.75,190.4,183.8,188.1,188.4
TATAMOTORS,1/24/2020,188,191,185,186.9,186.5
TATAMOTORS,1/27/2020,185.7,186.9,180.85,182.35,182.2
TATAMOTORS,1/28/2020,183.9,184.3,174.9,176.4,176.1
TATAMOTORS,1/29/2020,178.8,188.9,178.55,188.1,188.05
TATAMOTORS,1/30/2020,190.95,192.55,184.25,186.3,186.2
TATAMOTORS,1/31/2020,186.3,188.35,175.95,176.9,176.6
TATAMOTORS,2/1/2020,175.4,178.8,163.7,165.4,165.6
TATAMOTORS,2/3/2020,163.5,168.3,159.55,164.4,163.85
TATAMOTORS,2/4/2020,166.55,168.6,161.2,166.35,165.7
TATAMOTORS,2/5/2020,167.4,184.95,166.6,183.4,183.75
TATAMOTORS,2/6/2020,182,183.4,175.75,178.5,178.85
TATAMOTORS,2/7/2020,177.4,178.15,173,173.5,173.6
TATAMOTORS,2/10/2020,173.2,173.2,168,169,168.9
TATAMOTORS,2/11/2020,171.85,175.15,168.4,170.05,169.75
TATAMOTORS,2/12/2020,173,173.3,169,171.1,170.95
TATAMOTORS,2/13/2020,171.35,172.35,168.1,169.65,169.5
TATAMOTORS,2/14/2020,172,176.2,168.3,169.65,169.1
TATAMOTORS,2/17/2020,170.4,171.35,166.35,170,169.1
TATAMOTORS,2/18/2020,168,168,158.6,162.55,161.6
TATAMOTORS,2/19/2020,162.85,164.6,153.05,158.1,158.05
TATAMOTORS,2/20/2020,157.95,162.3,156,158.75,158.5
TATAMOTORS,2/24/2020,154,155.9,149.6,150.6,150.65
TATAMOTORS,2/25/2020,152.2,153.4,147.45,150.45,149.9
TATAMOTORS,2/26/2020,146.9,147.9,143.7,144.5,144.55
TATAMOTORS,2/27/2020,144.15,146.75,141.1,145.3,145.25
TATAMOTORS,2/28/2020,138.85,139.6,127.05,129.65,128.95
TATAMOTORS,3/2/2020,133,133.9,123.8,125.1,125.4
TATAMOTORS,3/3/2020,127.5,131.4,125.25,130.4,130.35
TATAMOTORS,3/4/2020,129.6,129.6,120.55,126.4,126.2
TATAMOTORS,3/5/2020,127.55,129.15,124.25,124.75,125.75
TATAMOTORS,3/6/2020,115,117.3,112.8,113.8,114.2
TATAMOTORS,3/9/2020,109,109.85,104.25,104.9,105.7
TATAMOTORS,3/11/2020,104.85,106.5,97.8,98.35,98.9
TATAMOTORS,3/12/2020,91.1,94.9,84.1,88.95,88
TATAMOTORS,3/13/2020,81.9,94.15,78.05,90.5,89.75
TATAMOTORS,3/16/2020,85.6,87.65,82.2,82.6,82.95
TATAMOTORS,3/17/2020,83.05,85,77.4,77.5,77.95
TATAMOTORS,3/18/2020,79.9,80.45,75.1,75.4,75.5
TATAMOTORS,3/19/2020,70,76.5,68.75,72.9,72.95
TATAMOTORS,3/20/2020,74,79.6,72.65,77.8,77.3
TATAMOTORS,3/23/2020,70,72,66,66.7,66.2
TATAMOTORS,3/24/2020,69.9,71.5,63.5,68.95,68.55
TATAMOTORS,3/25/2020,67.75,71.7,67.25,70.1,70.25
TATAMOTORS,3/26/2020,71.45,73.5,68.3,70.95,70.8
TATAMOTORS,3/27/2020,72.05,75.9,69.35,70.7,70.7
TATAMOTORS,3/30/2020,68.8,70,67.25,68.4,68.15
TATAMOTORS,3/31/2020,70.6,71.5,68.2,70.75,71.05
TATAMOTORS,4/1/2020,70.5,71.65,67.55,67.95,67.95
TATAMOTORS,4/3/2020,66.9,66.9,64.8,65.45,65.3
TATAMOTORS,4/7/2020,68.55,69.3,66.9,67.2,67.25
TATAMOTORS,4/8/2020,66.5,71.6,65.4,67.75,67.6
TATAMOTORS,4/9/2020,69.6,76.25,69.1,74.5,74.6
TATAMOTORS,4/13/2020,76,77.6,72.7,74.5,74.25
TATAMOTORS,4/15/2020,75.4,78.7,71.95,73.1,72.9
TATAMOTORS,4/16/2020,71.75,75.4,71,75.1,74.65
TATAMOTORS,4/17/2020,78.3,78.3,74.7,76.85,76.85
TATAMOTORS,4/20/2020,76.85,83.4,75.5,80.1,80.45
TATAMOTORS,4/21/2020,78,78,74,74.45,74.65
TATAMOTORS,4/22/2020,74.45,76.55,72.55,76.15,75.9
TATAMOTORS,4/23/2020,76.75,78.65,75.4,75.9,75.65
TATAMOTORS,4/24/2020,75,76.9,74,74.3,74.2
TATAMOTORS,4/27/2020,75.9,76.2,74.8,75.15,75.25
TATAMOTORS,4/28/2020,75.65,78.2,75.2,76.85,76.95
TATAMOTORS,4/29/2020,77.45,79.3,76.55,78.15,78.15
TATAMOTORS,4/30/2020,85.95,93.75,85.95,93.75,93.25
TATAMOTORS,5/4/2020,87,87.2,81.5,84.05,83.9
TATAMOTORS,5/5/2020,86,86.8,80.4,81,80.9
