ranking,player,team,fantPosition,games, fantFantPts , fantPPRpts , fantDKpts , fantFDpts , FFperGame , PPperGame , DKperGame , FDperGame 
1,Patrick Mahomes,KAN,QB,17, 416.0 , 417.4 , 435.4 , 428.9 , 24.5 , 24.6 , 25.6 , 25.2 
2,Josh Jacobs,LVR,RB,17, 275.0 , 328.3 , 335.3 , 301.8 , 16.2 , 19.3 , 19.7 , 17.8 
3,Christian McCaffrey,2TM,RB,17, 271.0 , 356.4 , 362.4 , 313.9 , 15.9 , 21.0 , 21.3 , 18.5 
4,Derrick Henry ,TEN,RB,16, 270.0 , 302.8 , 311.8 , 286.3 , 16.9 , 18.9 , 19.5 , 17.9 
5,Justin Jefferson,MIN,WR,17, 241.0 , 368.7 , 371.7 , 304.7 , 14.2 , 21.7 , 21.9 , 17.9 
6,Austin Ekeler,LAC,RB,17, 266.0 , 372.7 , 381.7 , 319.2 , 15.6 , 21.9 , 22.5 , 18.8 
7,Josh Allen,BUF,QB,16, 396.0 , 395.5 , 420.5 , 409.5 , 24.8 , 24.7 , 26.3 , 25.6 
8,Travis Kelce,KAN,TE,17, 206.0 , 316.3 , 320.3 , 261.3 , 12.1 , 18.6 , 18.8 , 15.4 
9,Davante Adams,LVR,WR,17, 236.0 , 335.5 , 338.5 , 285.5 , 13.9 , 19.7 , 19.9 , 16.8 
10,Nick Chubb,CLE,RB,17, 254.0 , 281.4 , 288.4 , 267.9 , 14.9 , 16.6 , 17.0 , 15.8 
11,Tyreek Hill,MIA,WR,17, 228.0 , 347.2 , 350.2 , 287.7 , 13.4 , 20.4 , 20.6 , 16.9 
12,Jalen Hurts,PHI,QB,15, 378.0 , 378.0 , 392.0 , 384.0 , 25.2 , 25.2 , 26.1 , 25.6 
13,A.J. Brown,PHI,WR,17, 212.0 , 299.6 , 304.6 , 255.6 , 12.5 , 17.6 , 17.9 , 15.0 
14,Stefon Diggs,BUF,WR,16, 209.0 , 316.6 , 319.6 , 262.6 , 13.1 , 19.8 , 20.0 , 16.4 
15,Saquon Barkley,NYG,RB,16, 227.0 , 284.0 , 290.0 , 255.5 , 14.2 , 17.8 , 18.1 , 16.0 
16,CeeDee Lamb,DAL,WR,17, 195.0 , 301.6 , 304.6 , 248.1 , 11.5 , 17.7 , 17.9 , 14.6 
17,Joe Burrow,CIN,QB,16, 351.0 , 350.7 , 371.7 , 362.7 , 21.9 , 21.9 , 23.2 , 22.7 
18,Jamaal Williams,DET,RB,17, 214.0 , 225.9 , 230.9 , 219.9 , 12.6 , 13.3 , 13.6 , 12.9 
19,Jaylen Waddle,MIA,WR,17, 184.0 , 259.2 , 263.2 , 221.7 , 10.8 , 15.2 , 15.5 , 13.0 
20,Tony Pollard,DAL,RB,16, 210.0 , 248.8 , 254.8 , 229.3 , 13.1 , 15.6 , 15.9 , 14.3 
21,Dalvin Cook,MIN,RB,17, 199.0 , 237.8 , 247.8 , 218.3 , 11.7 , 14.0 , 14.6 , 12.8 
22,Miles Sanders,PHI,RB,17, 197.0 , 216.7 , 221.7 , 206.7 , 11.6 , 12.7 , 13.0 , 12.2 
23,George Kittle,SFO,TE,15, 141.0 , 200.5 , 204.5 , 170.5 , 9.4 , 13.4 , 13.6 , 11.4 
24,Amari Cooper,CLE,WR,17, 168.0 , 246.0 , 250.0 , 208.0 , 9.9 , 14.5 , 14.7 , 12.2 
25,Taysom Hill,NOR,TE,16, 137.0 , 145.8 , 148.8 , 141.3 , 8.6 , 9.1 , 9.3 , 8.8 
26,Aaron Jones,GNB,RB,17, 190.0 , 248.6 , 257.6 , 219.1 , 11.2 , 14.6 , 15.2 , 12.9 
27,Amon-Ra St. Brown,DET,WR,16, 162.0 , 267.6 , 270.6 , 214.6 , 10.1 , 16.7 , 16.9 , 13.4 
28,DeVonta Smith,PHI,WR,17, 160.0 , 254.6 , 258.6 , 207.1 , 9.4 , 15.0 , 15.2 , 12.2 
29,T.J. Hockenson,2TM,TE,17, 129.0 , 215.4 , 219.4 , 172.4 , 7.6 , 12.7 , 12.9 , 10.1 
30,Christian Kirk,JAX,WR,17, 158.0 , 241.9 , 245.9 , 199.9 , 9.3 , 14.2 , 14.5 , 11.8 
31,Najee Harris,PIT,RB,17, 182.0 , 223.5 , 231.5 , 203.0 , 10.7 , 13.1 , 13.6 , 11.9 
32,Ja'Marr Chase,CIN,WR,12, 155.0 , 242.4 , 247.4 , 198.9 , 12.9 , 20.2 , 20.6 , 16.6 
33,Rhamondre Stevenson,NWE,RB,17, 180.0 , 249.1 , 256.1 , 214.6 , 10.6 , 14.7 , 15.1 , 12.6 
34,Joe Mixon,CIN,RB,14, 180.0 , 239.5 , 245.5 , 209.5 , 12.9 , 17.1 , 17.5 , 15.0 
35,Tyler Lockett,SEA,WR,16, 153.0 , 237.3 , 242.3 , 195.3 , 9.6 , 14.8 , 15.1 , 12.2 
36,Terry McLaurin,WAS,WR,17, 152.0 , 229.0 , 232.0 , 190.5 , 8.9 , 13.5 , 13.6 , 11.2 
37,Brandon Aiyuk,SFO,WR,17, 150.0 , 227.8 , 231.8 , 188.8 , 8.8 , 13.4 , 13.6 , 11.1 
38,Kenneth Walker III,SEA,RB,15, 176.0 , 202.5 , 208.5 , 189.0 , 11.7 , 13.5 , 13.9 , 12.6 
39,Mike Evans,TAM,WR,15, 148.0 , 225.4 , 228.4 , 186.9 , 9.9 , 15.0 , 15.2 , 12.5 
40,Tee Higgins,CIN,WR,16, 147.0 , 220.9 , 223.9 , 183.9 , 9.2 , 13.8 , 14.0 , 11.5 
41,Mark Andrews,BAL,TE,15, 118.0 , 190.5 , 193.5 , 154.0 , 7.9 , 12.7 , 12.9 , 10.3 
42,Geno Smith,SEA,QB,17, 304.0 , 303.9 , 324.9 , 314.9 , 17.9 , 17.9 , 19.1 , 18.5 
43,Travis Etienne,JAX,RB,17, 170.0 , 205.1 , 214.1 , 187.6 , 10.0 , 12.1 , 12.6 , 11.0 
44,Ezekiel Elliott,DAL,RB,15, 169.0 , 185.8 , 188.8 , 177.3 , 11.3 , 12.4 , 12.6 , 11.8 
45,Justin Fields,CHI,QB,15, 296.0 , 296.0 , 315.0 , 307.0 , 19.7 , 19.7 , 21.0 , 20.5 
46,Trevor Lawrence,JAX,QB,17, 296.0 , 295.6 , 318.6 , 303.6 , 17.4 , 17.4 , 18.7 , 17.9 
47,Jerry Jeudy,DEN,WR,15, 137.0 , 204.2 , 207.2 , 170.7 , 9.1 , 13.6 , 13.8 , 11.4 
48,D.K. Metcalf,SEA,WR,17, 137.0 , 226.8 , 231.8 , 181.8 , 8.1 , 13.3 , 13.6 , 10.7 
49,D.J. Moore,CAR,WR,17, 136.0 , 199.1 , 202.1 , 167.6 , 8.0 , 11.7 , 11.9 , 9.9 
50,Kirk Cousins,MIN,QB,17, 292.0 , 291.6 , 311.6 , 305.6 , 17.2 , 17.2 , 18.3 , 18.0 
51,Evan Engram,JAX,TE,17, 104.0 , 176.9 , 179.9 , 140.4 , 6.1 , 10.4 , 10.6 , 8.3 
52,Garrett Wilson,NYJ,WR,17, 133.0 , 215.7 , 219.7 , 174.2 , 7.8 , 12.7 , 12.9 , 10.2 
53,Daniel Jones,NYG,QB,16, 289.0 , 289.0 , 303.0 , 294.0 , 18.1 , 18.1 , 18.9 , 18.4 
54,Alvin Kamara,NOR,RB,15, 155.0 , 211.7 , 221.7 , 183.2 , 10.3 , 14.1 , 14.8 , 12.2 
55,James Conner,ARI,RB,13, 154.0 , 200.2 , 207.2 , 177.2 , 11.8 , 15.4 , 15.9 , 13.6 
56,Leonard Fournette,TAM,RB,16, 153.0 , 226.1 , 233.1 , 190.6 , 9.6 , 14.1 , 14.6 , 11.9 
57,Cole Kmet,CHI,TE,17, 97.0 , 147.3 , 150.3 , 122.3 , 5.7 , 8.7 , 8.8 , 7.2 
58,Cooper Kupp,LAR,WR,9, 126.0 , 201.4 , 205.4 , 163.9 , 14.0 , 22.4 , 22.8 , 18.2 
59,Chris Olave,NOR,WR,15, 126.0 , 198.2 , 203.2 , 162.2 , 8.4 , 13.2 , 13.5 , 10.8 
60,Jared Goff,DET,QB,17, 283.0 , 284.3 , 298.3 , 290.8 , 16.6 , 16.7 , 17.5 , 17.1 
61,Gabriel Davis,BUF,WR,15, 124.0 , 171.6 , 175.6 , 147.6 , 8.3 , 11.4 , 11.7 , 9.8 
62,Christian Watson,GNB,WR,14, 123.0 , 164.1 , 167.1 , 143.6 , 8.8 , 11.7 , 11.9 , 10.3 
63,Juwan Johnson,NOR,TE,16, 93.0 , 134.8 , 137.8 , 113.8 , 5.8 , 8.4 , 8.6 , 7.1 
64,Justin Herbert,LAC,QB,17, 279.0 , 281.3 , 300.3 , 290.3 , 16.4 , 16.5 , 17.7 , 17.1 
65,Chris Godwin,TAM,WR,15, 119.0 , 222.8 , 227.8 , 170.8 , 7.9 , 14.9 , 15.2 , 11.4 
66,David Montgomery,CHI,RB,16, 144.0 , 177.7 , 185.7 , 160.7 , 9.0 , 11.1 , 11.6 , 10.0 
67,Tyler Allgeier,ATL,RB,16, 143.0 , 159.4 , 165.4 , 151.4 , 8.9 , 10.0 , 10.3 , 9.5 
68,Michael Pittman Jr.,IND,WR,16, 118.0 , 216.5 , 220.5 , 167.0 , 7.4 , 13.5 , 13.8 , 10.4 
69,D'Andre Swift,DET,RB,14, 143.0 , 191.1 , 197.1 , 167.1 , 10.2 , 13.7 , 14.1 , 11.9 
70,Dawson Knox,BUF,TE,15, 88.0 , 135.7 , 138.7 , 111.7 , 5.9 , 9.0 , 9.2 , 7.4 
71,Zay Jones,JAX,WR,16, 116.0 , 198.1 , 201.1 , 157.1 , 7.3 , 12.4 , 12.6 , 9.8 
72,Dallas Goedert,PHI,TE,12, 86.0 , 141.2 , 145.2 , 113.7 , 7.2 , 11.8 , 12.1 , 9.5 
73,Dalton Schultz,DAL,TE,15, 86.0 , 142.7 , 146.7 , 114.2 , 5.7 , 9.5 , 9.8 , 7.6 
74,Allen Lazard,GNB,WR,15, 115.0 , 174.8 , 177.8 , 144.8 , 7.7 , 11.7 , 11.9 , 9.7 
75,Pat Freiermuth,PIT,TE,16, 85.0 , 148.2 , 151.2 , 116.7 , 5.3 , 9.3 , 9.5 , 7.3 
76,Jerick McKinnon,KAN,RB,17, 140.0 , 196.3 , 203.3 , 168.3 , 8.2 , 11.5 , 12.0 , 9.9 
77,Tom Brady,TAM,QB,17, 272.0 , 271.7 , 287.7 , 280.7 , 16.0 , 16.0 , 16.9 , 16.5 
78,Aaron Rodgers,GNB,QB,17, 239.0 , 239.2 , 258.2 , 251.2 , 14.1 , 14.1 , 15.2 , 14.8 
79,Lamar Jackson,BAL,QB,12, 236.0 , 236.1 , 251.1 , 243.1 , 19.7 , 19.7 , 20.9 , 20.3 
80,Tua Tagovailoa,MIA,QB,13, 231.0 , 230.9 , 242.9 , 238.9 , 17.8 , 17.8 , 18.7 , 18.4 
81,Russell Wilson,DEN,QB,15, 225.0 , 225.8 , 244.8 , 236.3 , 15.0 , 15.1 , 16.3 , 15.8 
82,Derek Carr,LVR,QB,15, 219.0 , 219.1 , 239.1 , 233.1 , 14.6 , 14.6 , 15.9 , 15.5 
83,Kyler Murray,ARI,QB,11, 201.0 , 200.5 , 215.5 , 207.5 , 18.3 , 18.2 , 19.6 , 18.9 
84,Dak Prescott,DAL,QB,12, 199.0 , 198.6 , 220.6 , 213.6 , 16.6 , 16.6 , 18.4 , 17.8 
85,Marcus Mariota,ATL,QB,13, 197.0 , 196.6 , 214.6 , 205.6 , 15.2 , 15.1 , 16.5 , 15.8 
86,Davis Mills,HOU,QB,15, 182.0 , 181.5 , 205.5 , 196.5 , 12.1 , 12.1 , 13.7 , 13.1 
87,Andy Dalton,NOR,QB,14, 174.0 , 174.2 , 187.2 , 183.2 , 12.4 , 12.4 , 13.4 , 13.1 
88,Mac Jones,NWE,QB,14, 170.0 , 170.1 , 188.1 , 181.1 , 12.1 , 12.2 , 13.4 , 12.9 
89,Jacoby Brissett,CLE,QB,16, 169.0 , 168.6 , 184.6 , 174.6 , 10.6 , 10.5 , 11.5 , 10.9 
